Brand,Role,Description,Detail URL,Guild,Subcategory,Industry,LevelOfSpecialization
DELMIA,Body-in-White Robotics Engineer,"Validate and optimize the Body-in-White robotics processes and resources with Robotics simulation and validation in a Virtual Factory context",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/body-in-white-robotics-engineer/?role=true,Craftsman / Maker,"Robotics & Automation (Automotive)","Transportation & Mobility",3
CATIA,Building & Civil Engineer for Education,"Expanding the powerful collaborative framework of 3DEXPERIENCE in the construction field",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/building-and-civil-engineer-for-education/?role=true,Designer / Artisan,"AEC (Education)","Education",1
CATIA,Building Design Engineer,"Design and model detailed building components and automate the creation of entire building 3DEXPERIENCE twins",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/building-design-engineer/?role=true,Designer / Artisan,"AEC / Construction","Construction",2
CATIA,Building Designer,"Create preliminary building designs during the conceptual design phase that seamlessly evolve into the detailed design phases",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/building-designer/?role=true,Designer / Artisan,"AEC / Construction","Construction",2
CATIA,Building and Civil 3D Electrical Engineer,"Shorten design time and reduce material costs by optimizing the physical design of complex electrical networks in the context of the overall project",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/building-and-civil-3d-electrical-engineer/?role=true,Designer / Artisan,"AEC Electrical Systems","Construction",3
CATIA,Building and Civil 3D Fluid Engineer,"Shorten design time and reduce material costs by optimizing the physical design of complex fluid systems in context of the overall construction project",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/building-and-civil-3d-fluid-engineer/?role=true,Designer / Artisan,"AEC Fluid Systems",Construction,3
CATIA,Building and Civil 3D MEP Designer,"Create Level of Details (LOD) 450 Mechanical, Electrical & Plumbing Models for Construction",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/building-and-civil-3d-mep-designer/?role=true,Designer / Artisan,"AEC / MEP",Construction,3
CATIA,Building and Civil Model Coordinator,"Coordinate 3D construction models from architects, consultants, contractors and subcontractors",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/building-and-civil-model-coordinator/?role=true,Designer / Artisan,"AEC Model Coordination",Construction,2
CATIA,Building and Civil Presenter,"Create life-like renderings and Virtual Reality Experiences of building and infrastructure projects for collaboration and review",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/building-and-civil-presenter/?role=true,Illusionist / Performer,"AEC Rendering & VR",Construction,2
NETVIBES,Business Analytics Consumer,"View & navigate analytics provided by a Business Analytics Manager.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/business-analytics-consumer/?role=true,Strategist / Guild Master,"Business Analytics",Generic,1
NETVIBES,Business Analytics Developer,"An extensive suite of indexing, data connection and consolidation, semantics and analytics capabilities in order to develop complete analytics applications.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/business-analytics-developer/?role=true,Strategist / Guild Master,"Business Analytics",Generic,2
NETVIBES,Business Analytics Manager,"Build & share analytics experiences to extract actionable insights from data.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/business-analytics-manager/?role=true,Strategist / Guild Master,"Business Analytics",Generic,2
CATIA,Cabin Appearance Designer for Aerospace & Defense,"Realistic visualization & VR capabilities enable virtual aircraft cabin reviews for layout and material design, saving time and cost on physical prototypes",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/cabin-appearance-designer-for-aerospace-and-defense/?role=true,Designer / Artisan,"Cabin Interiors (Aerospace & Defense)","Aerospace & Defense",3
CATIA,Cabin Designer for Aerospace & Defense,"An Unified Industrial Design workflow solution to Imagine, Create & Experience Cabin and Monuments for the ultimate Passenger Experience",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/cabin-designer-for-aerospace-and-defense/?role=true,Designer / Artisan,"Cabin Interiors (Aerospace & Defense)","Aerospace & Defense",3
NETVIBES,Change Intelligence Consumer,"A live 360° analysis of changes for the efficient program and product management by performing diagnostics and trend analysis on past and ongoing changes",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/change-intelligence-consumer/?role=true,Strategist / Guild Master,"Change Analytics",Generic,2
ENOVIA,Change Manager,"A strategic close-loop collaborative change process that clearly communicates change decisions and assignments to all impacted domains",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/change-manager/?role=true,Librarian / Scribe,"Change Management",Generic,2
ENOVIA,Change Specialist,"Reduce development & certification costs by optimizing complex product changes thanks to a holistic view of past and ongoing changes",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/change-specialist/?role=true,Librarian / Scribe,"Change Management",Generic,3
GEOVIA,City Contributor,"Exceptional geospatial context and collaboration through semantic-rich virtual twins.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/city-contributor/?role=true,Urbanist / Cartographer,"City / Geospatial Collaboration","Urban Planning",1
GEOVIA,City Data Engineer,"Create, transform and prepare geospatial data for insightful data visualization in context.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/city-data-engineer/?role=true,Urbanist / Cartographer,"City / Geospatial Data","Urban Planning",2
GEOVIA,City Planner for Education,"With the virtual twin of their preferred city, urban planning students can explore options to shape a more resilient and sustainable living environment",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/city-planner-for-education/?role=true,Urbanist / Cartographer,"City Planning (Education)",Education,1
GEOVIA,City Referential Manager,"Create and maintain best-in-class territorial virtual twins, enabling sustainable urban transformations and infrastructure projects.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/city-referential-manager/?role=true,Urbanist / Cartographer,"City / Territorial Twins","Urban Planning",3
GEOVIA,City Viewer,"Foster holistic geospatial awareness through territorial virtual twin experiences.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/city-viewer/?role=true,Urbanist / Cartographer,"City / Geospatial Viewing","Urban Planning",1
CATIA,Civil Designer,"Create linear infrastructure 3DEXPERIENCE twins for road and rail construction projects across cities and territories",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/civil-designer/?role=true,Designer / Artisan,"Civil Infrastructure",Construction,2
CATIA,Civil Engineer,"Create infrastructure 3DEXPERIENCE twins for bridge and tunnel construction projects across cities and territories",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/civil-engineer/?role=true,Designer / Artisan,"Civil Infrastructure",Construction,2
CATIA,Class-A Expert,"Produce high-end Class-A Quality surfaces respecting Design intent and & converging technical requirements",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/class-a-expert/?role=true,Designer / Artisan,"Surface & Class-A",Generic,3
NETVIBES,Classification Intelligence Analyst,"Classify your parts to organize and reveal knowledge from your patrimony of 3D components.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/classification-intelligence-analyst/?role=true,Strategist / Guild Master,"Classification Analytics",Generic,2
ENOVIA,Classification Manager,"Structure, Capture & Share Enterprise IP in Classification for better and faster business & Engineering decision",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/classification-manager/?role=true,Librarian / Scribe,"Classification Management",Generic,2
CATIA,Collaborative Circuit Board Designer,"Offer the engineering virtual twin of electronic assembly board in context of MCAD design, reducing time to market thanks to virtual mechanical integration.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-circuit-board-designer/?role=true,Designer / Artisan,"PCB / ECAD Collaboration","High-Tech",2
ENOVIA,Collaborative Data Integrator for IFC,"Delta based IFC import for an efficient data exchange and federation of building model",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-data-integrator-for-ifc/?role=true,Librarian / Scribe,"Data Integration (AEC IFC)",Construction,3
ENOVIA,Collaborative Designer for Altium Designer,"Efficiently manage and incorporate electronic designs into a multidisciplinary Electro-Mechanical product definition",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-altium-designer/?role=true,Librarian / Scribe,"ECAD Collaboration","High-Tech",2
ENOVIA,Collaborative Designer for AutoCAD,"Enables enterprise-wide sharing of drawing data while enriching AutoCAD with embedded productivity and lifecycle management apps.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-autocad/?role=true,Librarian / Scribe,"CAD Collaboration",Generic,2
CATIA,Collaborative Designer for CATIA Magic,"Complex systems design & Validation in the context of industrial programs",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-catia-magic/?role=true,Librarian / Scribe,"MBSE Integration",Generic,3
CATIA,Collaborative Designer for CATIA SCANeR,"Accelerate and secure tomorrow’s mobility solutions using virtual twin for design & validation of AD/ADAS & headlights",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-catia-scaner/?role=true,Librarian / Scribe,"SCANeR Integration (Automotive)","Transportation & Mobility",3
ENOVIA,Collaborative Designer for CATIA V5,"Enables designers to share design data and enrich CATIA® V5 with embedded productivity and lifecycle management apps.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-catia-v5/?role=true,Librarian / Scribe,"CAD Collaboration",Generic,2
ENOVIA,Collaborative Designer for Cadence Allegro HDL and Cadence OrCAD,"Efficiently manage and incorporate electronic designs into a multidisciplinary Electro-Mechanical product definition",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-cadence-allegro-hdl-and-cadence-orcad/?role=true,Librarian / Scribe,"ECAD Collaboration","High-Tech",3
CATIA,Collaborative Designer for ControlBuild,"Control systems design & Validation in the context of industrial programs",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-controlbuild/?role=true,Librarian / Scribe,"Control Systems Collaboration","Industrial Equipment",3
ENOVIA,Collaborative Designer for Creo Parametric,"Enables designers to share design data and enrich Creo Parametric with embedded productivity and lifecycle management apps.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-creo-parametric/?role=true,Librarian / Scribe,"CAD Collaboration",Generic,2
CATIA,Collaborative Designer for Dymola,"Allow domain experts to develop multi-physics simulation models / libraries and share ready-to-use experiments for systems assessment and tradeoff analysis",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-dymola/?role=true,Librarian / Scribe,"Multi-physics Collaboration",Generic,3
ENOVIA,Collaborative Designer for Inventor,"Enables designers to share design data and enrich Inventor with embedded productivity and lifecycle management apps.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-inventor/?role=true,Librarian / Scribe,"CAD Collaboration",Generic,2
ENOVIA,Collaborative Designer for NX,"Enables designers to share design data and enrich NX with embedded productivity and lifecycle management apps.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-nx/?role=true,Librarian / Scribe,"CAD Collaboration",Generic,2
ENOVIA,Collaborative Designer for Revit,"Better building process management and secure extended collaboration across disciplines working on a common Building Information Modeling (BIM) structure.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-revit/?role=true,Librarian / Scribe,"BIM Collaboration",Construction,2
CATIA,Collaborative Designer for STIMULUS,"Enables an end-to-end simulation and validation of systems requirements, from specifications to validation tests",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-stimulus/?role=true,Librarian / Scribe,"Systems Requirements Collaboration",Generic,3
ENOVIA,Collaborative Designer for Solid Edge,"Enables the sharing of design data and enriches Solid Edge with embedded productivity and lifecycle management apps.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-designer-for-solid-edge/?role=true,Librarian / Scribe,"CAD Collaboration",Generic,2
ENOVIA,Collaborative Industry Innovator,"Reduce product development cycle time and maximize innovation across the value network",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-industry-innovator/?role=true,Librarian / Scribe,"Collaboration & Lifecycle",Generic,1
ENOVIA,Collaborative Manager for Xpedition EDM,"Efficiently incorporate and manage electronic designs into multidisciplinary product engineering definitions",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/collaborative-manager-for-xpedition-edm/?role=true,Librarian / Scribe,"ECAD Collaboration","High-Tech",3
CATIA,Color & Trim Designer for Transportation & Mobility,"Use precise visualization and physically accurate rendering directly on native CAD data to create & evolve your design focusing on colors, materials and grains",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/color-and-trim-designer-for-transportation-and-mobility/?role=true,Designer / Artisan,"Color & Trim (Automotive)","Transportation & Mobility",2
CATIA,Company Apps Builder,"Accelerate engineering processes by creating and managing custom company apps developed within the 3DEXPERIENCE Platform.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/company-apps-builder/?role=true,Librarian / Scribe,"Platform Development",Generic,3
CATIA,Company Apps User,"Easily install and always stay up to date with the latest custom company apps created by company experts.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/company-apps-user/?role=true,Librarian / Scribe,"Platform Development (User)",Generic,1
ENOVIA,Component Request Engineer,"Centralized component request process to ensure compliance to organizational policies and strategies",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/component-request-engineer/?role=true,Librarian / Scribe,"Component Request / PDM",Generic,2
NETVIBES,Component Sourcing Analyst,"Data analytics combining engineering and purchasing data proposes efficient and comprehensive company spend investigation to identify major potential savings",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/component-sourcing-analyst/?role=true,Strategist / Guild Master,"Component Sourcing",Generic,2
BIOVIA,Composite Materials Scientist,"Create, manage and run molecular simulations of cured resin formulations to design and optimize high performance composite materials",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composite-materials-scientist/?role=true,Alchemist / Scholar,"Composites (Molecular)",Generic,3
SIMULIA,Composite Structures Analysis Engineer,"Perform detailed simulation of composite structures for stiffness, strength, manufacturability, and damage tolerance, while optimizing weight and performance",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composite-structures-analysis-engineer/?role=true,Engineer / Analyst,"Composites (Structural Analysis)",Generic,3
CATIA,Composite Structures Engineer for Marine and Offshore,"Perform optimized and robust composites designs to maintain strength rating while optimizing weight and thereby reducing cost of manufacturing and prototyping",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composite-structures-engineer-for-marine-and-offshore/?role=true,Designer / Artisan,"Composites (Marine & Offshore)","Marine & Offshore",3
SIMULIA,Composite Structures Performance Engineer,"Model and validate composite designs for stiffness, strength, and performance requirements, to reduce costs in composite structure prototypes and testing",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composite-structures-performance-engineer/?role=true,Engineer / Analyst,"Composites (Performance Analysis)",Generic,3
CATIA,Composites Braiding & Forming Engineer,"Enable the use of mass produced composites parts, creating composites parts manufacturable with fully automated manufacturing process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composites-braiding-and-forming-engineer/?role=true,Craftsman / Maker,"Composites (Braiding & Forming)",Generic,3
CATIA,Composites Designer for Industrial Equipment,"Cut design cycle times of industrial equipment composites parts by designing in context of collaborative loops while accounting for manufacturing constraints.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composites-designer-for-industrial-equipment/?role=true,Designer / Artisan,"Composites (Industrial Equipment)","Industrial Equipment",3
CATIA,Composites Designer for Marine and Offshore,"Cut design cycle times of hull composites structures by designing in context of collaborative design loops while accounting for manufacturing constraints.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composites-designer-for-marine-and-offshore/?role=true,Designer / Artisan,"Composites (Marine & Offshore)","Marine & Offshore",3
CATIA,Composites Designer for Transportation & Mobility,"Cut design cycle times of vehicle composites structures by designing in context of collaborative design loops while accounting for manufacturing constraints",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composites-designer-for-transportation-and-mobility/?role=true,Designer / Artisan,"Composites (Transport & Mobility)","Transportation & Mobility",3
CATIA,Composites Engineer for Transportation & Mobility,"Design Right First Time high performance structurally validated vehicle parts made of composites materials",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composites-engineer-for-transportation-and-mobility/?role=true,Designer / Artisan,"Composites (Transport & Mobility)","Transportation & Mobility",3
